League_Code,Year,Team_Name,Team_Link,Name,Age,B,T,Ht,Wt,DoB,Birthplace,Stint,From,To,id
JPCL,1987,Yokohama Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=fe0b765c,Jim Adduci,27,L,L,"6' 5""",200,"Aug 9, 1959","Chicago, IL, US",,,,adduci002jam
JPCL,2023,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=1b6dab3a,Makoto Aduwa,24,R,R,"6' 5""",183,"Oct 2, 1998",,,,,aduwa-000mak
JPPL,1965,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=b821b017,Masumi Agata,23,R,R,"5' 9""",162,"Oct 16, 1941","Aichi, JP",,,,agata-000mas
JPPL,2006,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=2a65c286,Benny Agbayani,34,R,R,"6' 0""",225,"Dec 28, 1971","Honolulu, HI, US",,,,agbaya001ben
JPPL,1965,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=fbc54336,Francis Agcaoili,26,L,R,"6' 1""",187,"Mar 29, 1939","HI, US",,,,agcaoi001fra
JPPL,2009,Fukuoka Softbank Hawks,https://www.baseball-reference.com/register/team.cgi?id=e990ada0,Chris Aguila,30,R,R,"5' 11""",200,"Feb 23, 1979","Redwood City, CA, US",,,,aguila001chr
JPPL,1992,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=67b7e6c2,Eijiro Ai,27,R,R,"5' 11""",138,"Sep 29, 1964","Inashiki-gun, Tochigi, JP",,,,ai----000eij
JPCL,1954,Kokutetsu Swallows,https://www.baseball-reference.com/register/team.cgi?id=ee603017,Toshiharu Ai,19,R,R,"5' 4""",149,"Jun 6, 1935","Shizuoka, JP",,,,ai----000tos
JPPL,1974,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=2bd452a2,Yoshihiro Aiba,30,R,R,"5' 8""",169,"Dec 8, 1943","Obu, Aichi, JP",,,,aiba--000yos
JPCL,1980,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=f9708c1e,Teruo Aida,33,R,R,"5' 8""",165,"Jun 5, 1947","Kasugabe, Saitama, JP",,,,aida--000ter
JPCL,1963,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=90cc9a30,Toyohiko Aida,26,R,R,"5' 9""",151,"Apr 1, 1937","Yamagata, JP",,,,aida--000toy
JPCL,2008,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=7d195c6a,Yushi Aida,24,R,R,"5' 10""",165,"Jan 30, 1984","Kasugabe, Saitama, JP",,,,aida--001yus
JPPL,2015,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=040f1b82,Kazutomo Aihara,25,L,L,"6' 1""",160,"Oct 27, 1989",,,2015-05-10,2015-06-24,aihara000kaz
JPCL,1950,Kokutetsu Swallows,https://www.baseball-reference.com/register/team.cgi?id=fe802d3b,Mamoru Aihara,31,R,R,"5' 7""",134,"Jan 5, 1919","Takasaki, Gunma, JP",,,,aihara000mam
JPPL,2006,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=2a65c286,Katsuyuki Aihara,22,R,R,"6' 3""",192,"Jul 24, 1983","Kodama-gun, Saitama, JP",,,,aihara001kat
JPCL,1991,Yokohama Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=f938bf5e,Hideaki Aikawa,23,R,R,"5' 11""",176,"Sep 11, 1967","Yokohama, Kanagawa, JP",,,,aikawa000hid
JPPL,1971,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=208ad596,Susumu Aikawa,23,R,R,"6' 0""",176,"Feb 12, 1948","Katsurashiki, Tokyo, JP",,,,aikawa000sus
JPPL,2006,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=9600bb21,Ryota Aikawa,29,R,R,"6' 0""",172,"Jan 18, 1977","Fukuoka, Fukuoka, JP",,,,aikawa001ryo
JPCL,2008,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=eba0fdad,Ryoji Aikawa,31,R,R,"6' 0""",190,"Jul 11, 1976","Ichikawa, Chiba, JP",,,,aikawa002ryo
JPPL,2003,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=80b5e972,Takashi Aiki,25,R,R,"6' 1""",160,"May 16, 1978","Kumamoto, Kumamoto, JP",,,,aiki--001tak
JPPL,1983,Lotte Orions,https://www.baseball-reference.com/register/team.cgi?id=e02bd3b2,Takeshi Aiko,20,L,L,"6' 0""",170,"Aug 15, 1962","Zushi, Kanagawa, JP",,,,aikoh-001tak
JPPL,2006,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=442d5843,Hisashi Aikyo,29,R,R,"5' 9""",165,"Dec 4, 1976","Takatsuki, Osaka, JP",,,,aikyoh001his
JPPL,1974,Nippon Ham Flyers,https://www.baseball-reference.com/register/team.cgi?id=d838fe2c,Kazunori Aimoto,25,R,R,"5' 9""",162,"Apr 22, 1949","Fukuoka, JP",,,,aimoto000kaz
JPPL,2017,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=7b937909,Makoto Aiuchi,22,R,R,"6' 1""",150,"Jul 23, 1994",JP,,2017-05-28,2017-08-26,aiuchi000mak
JPPL,1958,Toei Flyers,https://www.baseball-reference.com/register/team.cgi?id=73948bee,Kuniaki Aizawa,18,R,R,"5' 6""",132,"Jan 19, 1940","Tokyo, Tokyo, JP",,,,aizawa000kun
JPCL,1966,Sankei Atoms,https://www.baseball-reference.com/register/team.cgi?id=ca23a893,Masaru Ogata,26,R,R,"5' 8""",151,"Jun 21, 1940","Miyazaki, JP",,,,aizawa000mas
JPPL,1955,Tombo Unions,https://www.baseball-reference.com/register/team.cgi?id=164a9730,Susumu Aizawa,25,R,R,"5' 8""",151,"Jun 9, 1930",PW,,,,aizawa000sus
JPPL,2015,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=040f1b82,Susumu Aizawa,28,L,R,"5' 7""",158,"Jun 3, 1987",,,2015-07-26,2015-10-06,aizawa001sus
JPCL,2011,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=7e008722,Toshiaki Aizawa,23,L,L,"5' 11""",181,"Dec 14, 1987","Ahikaga, Tochigi, JP",,2011-08-07,2011-10-22,aizawa001tos
JPCL,2014,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=4c866536,Tsubasa Aizawa,26,R,R,"5' 10""",176,"Apr 13, 1988","Hitachi, Ibaraki, JP",,2014-05-10,2014-10-06,aizawa001tsu
JPCL,2014,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=8a52b102,Ryuichiro Akada,26,L,R,"5' 10""",176,"Jan 7, 1988",,,2014-05-10,2014-08-19,akada-000ryu
JPPL,2006,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=04e41a83,Shogo Akada,25,S,R,"5' 10""",183,"Sep 1, 1980","Soo-gun, Kagoshima, JP",,,,akada-001sho
JPCL,2014,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=681984cc,Katsuki Akagawa,23,L,L,"6' 0""",192,"Jul 31, 1990","Miyazaki, Miyazaki, JP",,2014-05-24,2014-08-29,akagaw001kat
JPCL,1963,Kokutetsu Swallows,https://www.baseball-reference.com/register/team.cgi?id=3d16f964,Kenichi Akagi,26,L,L,"5' 7""",156,"Sep 28, 1936","Tokyo, Tokyo, JP",,,,akagi-000ken
JPCL,2023,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=37d36ccf,Yoshihiro Akahane,23,R,R,"5' 8""",174,"Jun 29, 2000",,,,,akahan000yos
JPCL,2013,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=d8f6dcfc,Daichi Akahori,26,R,R,"6' 2""",198,"Apr 13, 1987",,,2013-09-28,2013-10-08,akahor000dai
JPPL,1992,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=c07312e5,Motoyuki Akahori,22,R,R,"5' 11""",158,"Apr 7, 1970","Fujieda, Shizuoka, JP",,,,akahor001mot
JPCL,2023,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=62d8919a,Yuji Akahoshi,23,R,R,"5' 8""",171,"Jul 2, 1999",,,,,akahos000yuj
JPCL,2008,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=6364dc7a,Norihiro Akahoshi,32,L,R,"5' 7""",146,"Apr 10, 1976","Kariya, Aichi, JP",,,,akahos001nor
JPCL,1958,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=9f361dea,Katsutoshi Akai,20,R,R,"5' 8""",147,"Nov 1, 1937","Tottori, JP",,,,akai--000kat
JPCL,1966,Sankei Atoms,https://www.baseball-reference.com/register/team.cgi?id=ca23a893,Kiyoji Akai,22,L,R,"5' 10""",156,"Jan 8, 1944","Ise, Mie, JP",,,,akai--000kiy
JPCL,1959,Kokutetsu Swallows,https://www.baseball-reference.com/register/team.cgi?id=a8c596e8,Akitoshi Akaike,21,R,R,"5' 10""",162,"May 1, 1938","Shizuoka, JP",,,,akaike000aki
JPPL,2017,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=cb5b5e33,Ken Akama,26,R,R,"5' 11""",176,"Nov 14, 1990",JP,,2017-05-07,2017-07-11,akama-000ken
JPCL,1983,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=480624ec,Ichiro Akamatsu,27,R,R,"5' 8""",165,"Oct 17, 1955","Fukui, JP",,,,akamat000ich
JPPL,1956,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=ea3752cc,Ryo Akamatsu,23,R,R,"5' 10""",150,"Jul 5, 1932","Hyogo, JP",,,,akamat000ryo
JPCL,2008,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=e613d770,Masato Akamatsu,25,R,R,"6' 0""",165,"Sep 6, 1982","Kyoto, Kyoto, JP",,,,akamat001mas
JPCL,1981,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=a70c00a1,Kenyu Akamine,23,R,R,"5' 9""",150,"May 20, 1958","Naha, Okinawa, JP",,,,akamin000ken
JPPL,2017,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=b2390485,Ginji Akaminai,29,L,R,"5' 9""",187,"Feb 24, 1988","Shimohei-gun, Iwate, JP",,2017-03-31,2017-10-10,akamin001gin
JPCL,1971,Yakult Atoms,https://www.baseball-reference.com/register/team.cgi?id=bfe3790c,Mitsuaki Akasaka,21,R,R,"5' 10""",165,"May 10, 1950","Miyagi, JP",,,,akasak000mit
JPCL,2008,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=fe01330f,Kazuyuki Akasaka,18,R,R,"6' 0""",183,"Sep 4, 1989","Yokohama, Kanagawa, JP",,,,akasak001kaz
JPPL,1952,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=f7b7734f,Koichi Akashi,25,R,R,"5' 7""",136,"Mar 18, 1927","Takamatsu, Kagawa, JP",,,,akashi000koi
JPPL,2017,Fukuoka Softbank Hawks,https://www.baseball-reference.com/register/team.cgi?id=3252241f,Kenji Akashi,31,L,R,"5' 9""",154,"Jan 9, 1986","Asahikawa, Hokkaido, JP",,2017-04-23,2017-10-08,akashi001ken
JPPL,1971,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=df53c3e2,Keizo Akiba,24,R,R,"5' 8""",156,"Nov 11, 1946","Kagoshima, JP",,,,akiba-000kei
JPCL,2023,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=62d8919a,Yuto Akihiro,20,L,R,"6' 6""",209,"Sep 17, 2002",,,,,akihir000yut
JPCL,1955,Osaka Tigers,https://www.baseball-reference.com/register/team.cgi?id=aeb1d974,Shinji Akimitsu,19,L,L,"5' 9""",145,"May 21, 1936","Toyoda-gun, Hiroshima, JP",,,,akimit000shi
JPCL,1967,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=ec0ae973,Hajime Akimoto,20,R,R,"6' 1""",173,"Oct 20, 1946","Oita, JP",,,,akimot000haj
JPPL,1954,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=9145a986,Tadanori Akimoto,19,R,R,"5' 6""",140,"Jun 14, 1935","Kumamoto, JP",,,,akimot000tad
JPPL,1960,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=40a11a41,Yusaku Akimoto,25,R,R,"5' 7""",154,"Jun 30, 1935","Kanagawa, JP",,,,akimot000yus
JPCL,1991,Yokohama Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=f938bf5e,Kosaku Akimoto,23,R,R,"6' 0""",187,"Jan 29, 1968","Bunkyo, Tokyo, JP",,,,akimot001koh
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Norihiro Akimura,30,R,R,"5' 10""",187,"Feb 26, 1966",,,,,akimur000nor
JPCL,1980,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=29ab8e1d,Hideyuki Akita,25,R,R,"5' 11""",176,"Apr 29, 1955","Shizuoka, Shizuoka, JP",,,,akita-000hid
JPCL,1963,Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=97257806,Noboru Akiyama,29,R,R,"5' 10""",160,"Feb 3, 1934","Okayama, Okayama, JP",,,,akiyam000nob
JPPL,1971,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=208ad596,Shigeo Akiyama,25,R,R,"5' 10""",160,"May 5, 1946","Okayama, JP",,,,akiyam000shi
JPPL,2017,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=7b937909,Shogo Akiyama,29,L,R,"6' 0""",182,"Apr 16, 1988","Yokosuka, Kanagawa, JP",,2017-03-31,2017-10-05,akiyam000sho
JPPL,1992,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=467bffb3,Koji Akiyama,30,R,R,"6' 2""",180,"Apr 6, 1962","Miyahara, Kumamoto, JP",,,,akiyam001koj
JPCL,2014,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=716a3cf5,Takumi Akiyama,23,L,R,"6' 1""",203,"Apr 26, 1991","Marugame, Kagawa, JP",,2014-04-05,2014-08-16,akiyam001tak
JPPL,1955,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=5d0078df,Takeshi Akiyama,19,L,L,"5' 9""",150,"Sep 29, 1935","Saitama, JP",,,,akiyam002tak
JPPL,2020,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=dfafe555,Ryo Akiyoshi,31,R,R,"5' 11""",160,"Mar 21, 1989","Tokyo, Tokyo, JP",,,,akiyos000ryo
JPPL,2003,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=ce0e748e,Kokichi Akune,29,L,R,"5' 10""",165,"Jun 22, 1974","Adachi, Tokyo, JP",,,,akune-001kok
JPCL,1956,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=4e8dbe99,Yoshio Akutsu,19,L,L,"5' 10""",143,"Jul 11, 1936","Tochigi, JP",,,,akutsu000yos
JPCL,2011,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=843a1ee6,Jonathan Albaladejo,28,R,R,"6' 5""",270,"Oct 30, 1982","San Juan, PR",,2011-04-16,2011-10-16,albala001jon
JPPL,2020,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=df1bc450,Andrew Albers,34,R,L,"6' 1""",200,"Oct 6, 1985","North Battleford, SK, CA",,,,albers001and
JPCL,2021,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=e258458d,Raúl Alcántara,28,R,R,"6' 4""",220,"Dec 4, 1992","Barahona, Barahona, DO",,,,alcant001rau
JPPL,2022,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=5e2f8ca6,Arismendy Alcántara,30,S,R,"5' 10""",170,"Oct 29, 1991","Santo Domingo, Distrito Nacional, DO",,,,alcant003ari
JPPL,1959,Toei Flyers,https://www.baseball-reference.com/register/team.cgi?id=847c377f,Bob Alexander,36,R,R,"6' 2""",205,"Aug 7, 1922","Vancouver, BC, CA",,,,alexan006rob
JPCL,2009,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=525c55e6,Edgardo Alfonzo,35,R,R,"5' 11""",210,"Nov 8, 1973","Santa Teresa del Tuy, Miranda, VE",,,,alfonz003edg
JPCL,1982,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=66fcfc91,Kim Allen,29,R,R,"5' 11""",175,"Apr 5, 1953","Fontana, CA, US",,,,allen-001kim
JPPL,2012,Fukuoka Softbank Hawks,https://www.baseball-reference.com/register/team.cgi?id=968d0cf4,Brandon Allen,26,L,R,"6' 2""",230,"Feb 12, 1986","Conroe, TX, US",,2012-08-12,2012-08-25,allen-002bra
JPCL,1991,Hiroshima Toyo Carp,https://www.baseball-reference.com/register/team.cgi?id=d4c9e48d,Rod Allen,31,R,R,"6' 1""",185,"Oct 5, 1959","Los Angeles, CA, US",,,,allen-002rod
JPPL,2007,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=919ead0e,Chad Allen,32,R,R,"6' 1""",195,"Feb 6, 1975","Dallas, TX, US",,,,allen-004joh
JPPL,2005,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=3f26e47c,Erick Almonte,27,R,R,"6' 2""",245,"Feb 1, 1978","Santo Domingo, Distrito Nacional, DO",,,,almont001eri
JPCL,2002,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=4574a29f,Héctor Almonte,26,R,R,"6' 2""",190,"Oct 17, 1975","Santo Domingo, Distrito Nacional, DO",,,,almont001hec
JPCL,2023,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=f6f7e797,Zoilo Almonte,34,S,R,"6' 0""",205,"Jun 10, 1989","Santo Domingo, Distrito Nacional, DO",,,,almont001zoi
JPPL,1974,Taiheiyo Club Lions,https://www.baseball-reference.com/register/team.cgi?id=06ff5306,Matty Alou,35,L,L,"5' 9""",160,"Dec 22, 1938","Bajos de Haina, San Cristobal, DO",,,,alou--001mat
JPPL,1971,Lotte Orions,https://www.baseball-reference.com/register/team.cgi?id=9619e675,George Altman,38,L,R,"6' 4""",200,"Mar 20, 1933","Goldsboro, NC, US",,,,altman001geo
JPCL,2011,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=7e008722,Carlos Alvarado,33,R,R,"6' 4""",210,"Jan 24, 1978","Santurce, PR",,2011-04-16,2011-10-07,alvara001gia
JPPL,2021,Fukuoka Softbank Hawks,https://www.baseball-reference.com/register/team.cgi?id=060b7ffc,Dariel Álvarez,32,R,R,"6' 2""",180,"Nov 7, 1988","Camaguey, CU",,,,alvare002dar
JPPL,2017,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=b2390485,Japhet Amador,30,R,R,"6' 4""",310,"Jan 19, 1987","Mulege, Baja California Sur, MX",,2017-03-31,2017-10-03,amador001jap
JPCL,1963,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=5bbf6a58,Hikaru Amamoto,18,R,R,"5' 7""",149,"Nov 12, 1944","Fukuoka, JP",,,,amamot000hik
JPCL,2005,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=c8efc038,Koichi Amano,26,R,R,"5' 10""",154,"Apr 12, 1979","Takamatsu, Kagawa, JP",,,,amano-001koh
JPPL,2004,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=2e0ef32d,Yugo Amano,26,R,R,"6' 2""",180,"Dec 11, 1977","Sendai, Miyagi, JP",,,,amano-001yug
JPCL,2008,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=e613d770,Soichiro Amaya,24,L,L,"5' 10""",176,"Nov 8, 1983","Sabae, Fukui, JP",,,,amaya-001soh
JPCL,2023,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=e658b906,Trey Amburgey,28,R,R,"6' 2""",210,"Oct 24, 1994","Lake Worth, FL, US",,,,amburg000tre
JPPL,1968,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=63cee921,Katsutoshi Amemiya,23,R,R,"5' 10""",171,"Jun 17, 1945","Shioyama, Yamanashi, JP",,,,amemiy000kat
