League_Code,Year,Team_Name,Team_Link,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,id
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Yasuo Shirasaki,19,0,1,0,5.19,3,1,0,0,0,,8.2,6,5,5,1,8,,4,0,0,1,38,1.615,6.2,1,8.3,4.2,0.5,,shiras000yas
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Susumu Yuki*,32,16,8,0.667,2.54,30,19,11,11,3,,181,170,62,51,8,33,,93,3,0,1,732,1.122,8.5,0.4,1.6,4.6,2.82,,yuki--000sus
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Hachiro Abe*,28,11,4,0.733,1.88,23,15,7,8,2,,148.1,121,38,31,6,41,,90,2,0,3,594,1.092,7.3,0.4,2.5,5.5,2.2,,abe---000hac
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Jonas Gaines*,38,14,9,0.609,2.53,36,29,6,14,4,,220.2,184,76,62,9,94,,142,0,1,5,904,1.26,7.5,0.4,3.8,5.8,1.51,,gaines003jon
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Koichi Harada,25,3,0,1,1.87,18,3,7,1,0,,53,56,16,11,1,19,,20,1,0,2,223,1.415,9.5,0.2,3.2,3.4,1.05,,harada000koi
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Zenzo Ikeda,29,4,9,0.308,3.02,33,14,8,1,0,,125,113,50,42,5,40,,42,0,1,4,521,1.224,8.1,0.4,2.9,3,1.05,,ikeda-000zen
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Rentaro Imanishi,28,0,2,0,3.6,7,1,6,0,0,,20,19,8,8,2,9,,4,1,0,1,85,1.4,8.6,0.9,4.1,1.8,0.44,,imanis000ren
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Makizo Ito*,22,0,1,0,5.4,3,1,2,0,0,,10,11,7,6,1,1,,9,0,0,0,43,1.2,9.9,0.9,0.9,8.1,9,,itoh--000mak
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Kiichiro Miyazawa*,26,2,0,1,1.52,5,0,3,0,0,,23.2,17,6,4,1,7,,8,0,0,1,93,1.014,6.5,0.4,2.7,3,1.14,,miyaza000kii
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Kazuhiro Nagata,21,0,0,,27,1,0,1,0,0,,1,2,3,3,0,1,,0,2,0,0,8,3,18,0,9,0,0,,nagata000kaz
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Heishichi Sato,35,4,4,0.5,2.4,22,6,8,3,0,,75,74,29,20,1,25,,28,2,0,2,321,1.32,8.9,0.1,3,3.4,1.12,,sato--000hei
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Eiji Shibata,22,17,13,0.567,3.05,43,27,12,8,2,,209.2,214,86,71,12,40,,98,3,0,1,865,1.211,9.2,0.5,1.7,4.2,2.45,,shibat000eij
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Sachio Suzuki,21,1,2,0.333,6.51,17,7,5,0,0,,37.1,32,27,27,3,25,,22,5,0,2,168,1.527,7.7,0.7,6,5.3,0.88,,suzuki000sac
JPPL,1953,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=4b7bbc07,Yoshio Tenbo,29,11,8,0.579,2.19,37,17,10,10,2,,177,154,57,43,6,35,,50,4,0,2,698,1.068,7.8,0.3,1.8,2.5,1.43,,tenpo-000yos
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Takeshi Akiyama*,17,0,0,,1.69,1,0,1,0,0,,5.1,5,2,1,0,3,,2,0,0,0,23,1.5,8.4,0,5.1,3.4,0.67,,akiyam002tak
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Giichi Hayashi,33,17,11,0.607,2.67,36,30,4,26,2,,283.2,260,97,84,13,42,,90,3,0,0,1133,1.065,8.2,0.4,1.3,2.9,2.14,,hayash000gii
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Yoshiharu Himeno,29,13,12,0.52,2.07,30,23,5,15,4,,200.1,157,65,46,6,57,,87,2,0,1,805,1.068,7.1,0.3,2.6,3.9,1.53,,himeno000yos
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Takao Iio,19,0,2,0,4.4,11,2,4,0,0,,28.2,32,20,14,0,25,,11,0,1,1,136,1.988,10,0,7.8,3.5,0.44,,iio---000tak
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Yoshiharu Ogawa,29,6,8,0.429,3.39,21,13,6,7,1,,124.2,114,51,47,9,31,,39,0,0,2,498,1.163,8.2,0.6,2.2,2.8,1.26,,ogawa-000yos
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Victor Starffin,37,11,9,0.55,2.68,26,23,2,17,3,,201.2,175,67,60,11,42,,61,4,0,3,811,1.076,7.8,0.5,1.9,2.7,1.45,,starfi000vic
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Toshio Takamatsu,33,9,9,0.5,3.06,29,19,6,7,2,,153,140,63,52,6,50,,52,1,0,4,625,1.242,8.2,0.4,2.9,3.1,1.04,,takama000tos
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Kazuo Takeuchi*,21,1,0,1,1.99,15,1,9,0,0,,22.2,15,10,5,0,16,,18,0,0,0,96,1.368,6,0,6.4,7.1,1.13,,takeuc000kaz
JPPL,1953,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=2b5a7b2c,Kazuo Yabumoto,22,6,2,0.75,2,17,9,7,4,1,,76.1,68,17,17,5,21,,24,0,0,1,300,1.166,8,0.6,2.5,2.8,1.14,,yabumo000kaz
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Hisafumi Kawamura,19,3,4,0.429,2.51,24,8,9,2,1,,82.1,65,35,23,3,41,,58,3,1,2,346,1.287,7.1,0.3,4.5,6.3,1.41,,kawamu000his
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Tokuji Kawasaki,32,24,15,0.615,1.99,47,23,21,18,5,,294.1,238,86,65,9,78,,110,3,0,0,1167,1.074,7.3,0.3,2.4,3.4,1.41,,kawasa000tok
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Sadao Nishimura,18,2,9,0.182,3.99,34,13,11,2,0,,119.2,96,60,53,2,83,,129,1,0,5,525,1.496,7.2,0.2,6.2,9.7,1.55,,nishim000sad
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Masaaki Noguchi,29,2,3,0.4,4.28,17,4,7,0,0,,61,74,38,29,10,15,,11,1,0,0,269,1.459,10.9,1.5,2.2,1.6,0.73,,noguch000mas
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Masao Ota,19,0,1,0,3.15,19,5,6,0,0,,45.2,39,20,16,2,23,,20,2,0,1,192,1.358,7.7,0.4,4.5,3.9,0.87,,ota---000mas
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Mamoru Otsu,22,6,11,0.353,3.67,34,15,11,4,1,,147,150,75,60,9,46,,56,1,0,1,626,1.333,9.2,0.6,2.8,3.4,1.22,,otsu--000mam
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Phil Paine,23,4,3,0.571,1.77,9,8,1,5,1,,61,37,17,12,2,34,,38,8,0,1,257,1.164,5.5,0.3,5,5.6,1.12,,paine-001phi
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Yukio Shimabara,20,4,6,0.4,3.22,27,9,8,1,0,,81,56,32,29,4,38,,38,2,1,1,329,1.16,6.2,0.4,4.2,4.2,1,,shimab000yuk
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Sadamu Tajima,18,0,0,,0,2,0,1,0,0,,1.1,0,0,0,0,0,,1,0,0,0,4,0,0,0,0,6.8,,,tajima000sad
JPPL,1953,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=07834e39,Shisho Takesue,30,0,2,0,7.71,12,9,1,0,0,,30.1,29,32,26,6,29,,10,4,0,2,152,1.912,8.6,1.8,8.6,3,0.34,,takesu000shi
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Susumu Aizawa,23,0,0,,10.13,3,0,2,0,0,,5.1,8,8,6,2,5,,2,0,0,0,30,2.438,13.5,3.4,8.4,3.4,0.4,,aizawa000sus
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Atsushi Aramaki*,27,17,14,0.548,2.14,50,16,27,8,1,,248,198,75,59,8,49,,122,1,0,5,962,0.996,7.2,0.3,1.8,4.4,2.49,,aramak000ats
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Yoshimi Ebara*,28,13,8,0.619,2.82,35,25,5,7,4,,163,149,62,51,8,52,,125,2,1,4,671,1.233,8.2,0.4,2.9,6.9,2.4,,ebara-000yos
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Sadao Inagaki,30,0,0,,2.25,3,0,2,0,0,,8,7,2,2,1,0,,3,0,1,0,31,0.875,7.9,1.1,0,3.4,,,inagak000sad
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Leo Kiely*,23,6,0,1,1.8,6,5,1,3,1,,45,36,14,9,2,15,,32,6,0,0,183,1.133,7.2,0.4,3,6.4,2.13,,kiely-001leo
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Kazuo Miyazaki,20,7,4,0.636,2.79,32,5,16,0,0,,106.1,90,37,33,6,29,,45,3,0,1,426,1.119,7.6,0.5,2.5,3.8,1.55,,miyaza002kaz
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Takeshi Nomura,34,3,9,0.25,3.32,30,16,8,2,0,,122,140,55,45,6,23,,35,1,0,0,505,1.336,10.3,0.4,1.7,2.6,1.52,,nomura002tak
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Hirokazu Shimizu,20,1,2,0.333,3.32,23,3,11,1,1,,65,61,28,24,2,29,,25,1,0,0,279,1.385,8.4,0.3,4,3.5,0.86,,shimiz003hir
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Toshinobu Sueyoshi,26,1,4,0.2,5.79,11,8,1,2,0,,46.2,54,32,30,3,28,,13,3,0,1,214,1.757,10.4,0.6,5.4,2.5,0.46,,sueyos000tos
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Yoshihiko Taki,24,0,0,,4.5,3,0,2,0,0,,8,11,4,4,2,3,,7,0,0,0,37,1.75,12.4,2.3,3.4,7.9,2.33,,taki--000yos
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Yoshinobu Uemura,18,1,5,0.167,4.46,9,8,0,0,0,,34.1,30,18,17,2,22,,27,0,1,0,154,1.515,7.9,0.5,5.8,7.1,1.23,,uemura000yos
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Shigeo Ueno,30,0,0,,4.66,3,1,2,0,0,,9.2,13,5,5,0,4,,3,0,0,0,43,1.759,12.1,0,3.7,2.8,0.75,,ueno--000shi
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Isamu Wada,19,1,5,0.167,3.86,15,9,4,0,0,,51.1,53,30,22,3,18,,25,0,2,1,224,1.383,9.3,0.5,3.2,4.4,1.39,,wada--000isa
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Isao Wada*,20,5,4,0.556,3.43,20,14,2,3,0,,89.1,84,44,34,4,38,,59,0,0,2,378,1.366,8.5,0.4,3.8,5.9,1.55,,wada--001isa
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Toshihide Yamane,25,1,6,0.143,3.44,22,9,10,1,0,,68,73,36,26,4,24,,23,2,0,2,290,1.426,9.7,0.5,3.2,3,0.96,,yamane001tos
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Katsumi Kanayama,20,9,9,0.5,2.81,35,21,7,5,3,,160.1,134,60,50,10,48,,75,4,0,3,653,1.135,7.5,0.6,2.7,4.2,1.56,,kanaya000kat
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Shigeharu Kuwana,31,8,8,0.5,2.97,36,17,11,8,3,,163.2,168,68,54,12,25,,50,2,0,0,670,1.179,9.2,0.7,1.4,2.7,2,,kuwana000shi
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Tadashige Matsumoto,29,0,0,,10.8,9,1,2,0,0,,13.1,20,17,16,4,9,,5,0,0,0,68,2.175,13.5,2.7,6.1,3.4,0.56,,matsum001tad
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Sumiya Miyazawa*,27,1,4,0.2,3.93,25,9,3,1,0,,68.2,68,35,30,4,21,,25,1,0,2,289,1.296,8.9,0.5,2.8,3.3,1.19,,miyaza000sum
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Toshiaki Ogata,31,4,8,0.333,3.03,25,11,7,2,1,,104,105,41,35,9,23,,43,0,1,0,434,1.231,9.1,0.8,2,3.7,1.87,,ogata-001tos
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Seiichi Tarui,24,6,5,0.545,3.13,35,7,23,1,0,,112,103,54,39,8,38,,31,0,1,2,467,1.259,8.3,0.6,3.1,2.5,0.82,,tarui-000kat
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Shoji Terakawa,23,1,4,0.2,5.91,21,4,6,1,1,,53.1,68,44,35,5,19,,22,0,0,1,247,1.631,11.5,0.8,3.2,3.7,1.16,,teraka000sho
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Toji Tosen,21,0,1,0,21.6,2,1,0,0,0,,1.2,5,4,4,0,3,,2,0,0,0,13,4.8,27,0,16.2,10.8,0.67,,tosen-000toj
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Shigeo Ueno,30,5,7,0.417,3.06,30,14,10,3,0,,141,124,52,48,12,42,,44,0,1,1,576,1.177,7.9,0.8,2.7,2.8,1.05,,ueno--000shi
JPPL,1953,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=6bd5b82c,Yasuo Yonekawa,25,16,21,0.432,2.76,45,35,9,21,6,,274,259,105,84,10,60,,180,0,0,0,1119,1.164,8.5,0.3,2,5.9,3,,yoneka000yas
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Seiichiro Fujii*,21,0,0,,6.1,7,0,3,0,0,,10.1,16,7,7,2,3,,9,0,0,1,49,1.839,13.9,1.7,2.6,7.8,3,,fujii-000sei
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Masao Haido,21,0,0,,7.04,4,0,1,0,0,,7.2,7,7,6,2,6,,1,0,0,1,37,1.696,8.2,2.3,7,1.2,0.17,,haito-000mas
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Hidemitsu Kagawa,23,1,2,0.333,3.06,16,2,9,0,0,,47,57,22,16,5,11,,9,0,0,1,202,1.447,10.9,1,2.1,1.7,0.82,,kagawa000hid
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Shigeaki Kuroo,26,14,11,0.56,2.03,30,27,2,15,2,,226.1,199,62,51,9,44,,48,2,0,1,895,1.074,7.9,0.4,1.7,1.9,1.09,,kuro--000shi
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Yasuo Nagai,21,0,2,0,6.39,3,3,0,0,0,,12.2,15,10,9,2,6,,3,0,0,0,57,1.658,10.7,1.4,4.3,2.1,0.5,,nagai-000yas
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Kiichiro Nomoto,31,1,2,0.333,2.47,25,4,15,0,0,,76.2,73,35,21,7,18,,19,1,0,0,316,1.187,8.6,0.8,2.1,2.2,1.06,,nomoto000kii
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Mitsuro Sawafuji,33,12,12,0.5,2.64,38,24,10,10,4,,222,191,77,65,8,58,,89,7,0,0,899,1.122,7.7,0.3,2.4,3.6,1.53,,sawafu000mit
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Junzo Sekine*,26,10,15,0.4,3.16,35,26,8,19,1,,219,209,99,77,10,58,,106,8,0,0,914,1.219,8.6,0.4,2.4,4.4,1.83,,sekine000jun
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Fumio Takechi,26,4,15,0.211,3.95,29,17,9,6,1,,141.1,156,73,62,8,35,,50,0,0,1,590,1.351,9.9,0.5,2.2,3.2,1.43,,takech000fum
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Teruaki Wakasugi*,19,0,0,,9,1,0,1,0,0,,2,4,2,2,0,0,,2,0,0,0,10,2,18,0,0,9,,,wakasu000ter
JPPL,1953,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7597171e,Yoji Yoshida*,19,0,0,,1.59,3,0,2,0,0,,5.2,6,2,1,0,3,,1,0,0,0,25,1.588,9.5,0,4.8,1.6,0.33,,yoshid000yoj
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Akira Araoka,23,1,0,1,3.75,14,1,8,0,0,,24,23,11,10,3,12,,8,2,0,0,103,1.458,8.6,1.1,4.5,3,0.67,,araoka000aki
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Hisafumi Kawamura,20,25,12,0.676,1.99,61,21,33,4,3,,276,183,71,61,4,88,,169,8,1,0,1079,0.982,6,0.1,2.9,5.5,1.92,,kawamu000his
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Tokuji Kawasaki,33,10,10,0.5,2.39,30,15,13,6,1,,158.1,136,51,42,6,47,,68,3,0,1,643,1.156,7.7,0.3,2.7,3.9,1.45,,kawasa000tok
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Kei Kitahara*,18,4,3,0.571,3.26,27,21,1,0,0,,91,73,39,33,4,28,,76,0,0,1,367,1.11,7.2,0.4,2.8,7.5,2.71,,kitaha000sat
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Mamoru Nagasaka,19,0,2,0,3.86,6,3,3,0,0,,11.2,9,5,5,0,3,,2,1,0,0,45,1.029,6.9,0,2.3,1.5,0.67,,nagasa000mam
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Sadao Nishimura,19,22,5,0.815,1.77,46,26,13,14,8,,275,167,65,54,10,72,,236,4,0,4,1043,0.869,5.5,0.3,2.4,7.7,3.28,,nishim000sad
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Masaaki Noguchi,30,0,1,0,9,2,1,1,0,0,,3,3,3,3,0,0,,1,0,0,0,13,1,9,0,0,3,,,noguch000mas
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Masao Ota,20,0,0,,5.59,6,2,2,0,0,,9.2,8,9,6,0,6,,3,1,0,0,45,1.448,7.4,0,5.6,2.8,0.5,,ota---000mas
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Mamoru Otsu,23,18,11,0.621,1.78,49,29,10,9,2,,257.1,197,62,51,7,69,,123,6,0,2,1018,1.034,6.9,0.2,2.4,4.3,1.78,,otsu--000mam
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Yasunori Otsuka,20,0,1,0,2.45,6,1,2,0,0,,11,9,7,3,0,4,,7,0,0,0,47,1.182,7.4,0,3.3,5.7,1.75,,otsuka001yas
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Atsushi Sakagami,19,7,1,0.875,2.23,44,12,13,1,1,,101,89,32,25,1,41,,31,1,0,0,420,1.287,7.9,0.1,3.7,2.8,0.76,,sakaga000ats
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Yukio Shimabara,21,3,1,0.75,2.29,23,8,6,1,0,,63,43,24,16,3,26,,28,0,0,0,248,1.095,6.1,0.4,3.7,4,1.08,,shimab000yuk
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Kiyoshi Fujie,23,1,0,1,4.24,7,2,2,1,1,,23.1,18,11,11,0,23,,5,3,0,0,109,1.757,6.9,0,8.9,1.9,0.22,,fujie-000kiy
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Hiroyuki Imai,20,0,0,,4.8,6,0,3,0,0,,15,19,14,8,1,11,,6,1,0,0,74,2,11.4,0.6,6.6,3.6,0.55,,imai--000hir
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Munehiro Kajiwara,27,0,0,,4.5,1,0,1,0,0,,4,2,3,2,0,3,,2,0,0,0,17,1.25,4.5,0,6.8,4.5,0.67,,kajiwa000mun
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Mutsuo Minagawa,18,0,3,0,3.09,10,3,4,0,0,,23.1,23,9,8,1,6,,11,0,0,0,93,1.243,8.9,0.4,2.3,4.2,1.83,,minaga000mut
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Hiroshi Nakahara,30,7,8,0.467,2.69,19,15,2,4,2,,90.1,74,29,27,6,32,,31,0,0,1,365,1.173,7.4,0.6,3.2,3.1,0.97,,nakaha002hir
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Takashi Nakajima,19,1,0,1,2.16,7,1,4,1,1,,16.2,15,6,4,0,7,,9,0,0,0,70,1.32,8.1,0,3.8,4.9,1.29,,nakaji000tak
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Taisei Nakamura,18,6,5,0.545,3.38,36,13,11,3,2,,117,102,56,44,5,49,,71,3,0,1,484,1.291,7.8,0.4,3.8,5.5,1.45,,nakamu000tai
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Nobuo Nakatani*,34,3,2,0.6,2.83,8,4,3,1,0,,28.2,23,10,9,3,5,,3,0,0,0,111,0.977,7.2,0.9,1.6,0.9,0.6,,nakata000nob
JPPL,1954,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=64b73940,Takumi Nomo*,23,6,4,0.6,3.04,25,12,7,1,1,,91.2,92,35,31,5,40,,57,1,0,2,390,1.44,9,0.5,3.9,5.6,1.43,,nomo--000tok
