game_id,team_side,pitch_order,player_name_jp,decision,ip,bf,h,k,bb,er,e
lions_1980_FL3,away,1,柴田　保光,,5.1,25,3,3,6,2,0
lions_1980_FL3,away,2,古沢　憲司,,2.1,13,2,3,4,1,0
lions_1980_FL3,away,3,永射　保,,1.1,4,0,1,0,0,0
lions_1980_FL3,home,1,宇田　東植,,2.0,10,5,0,0,2,0
lions_1980_FL3,home,2,岡部　憲章,,3.0,11,3,0,0,1,0
lions_1980_FL3,home,3,間柴　茂有,,1.0,4,1,1,0,0,0
lions_1980_FL3,home,4,村上　雅則,,3.0,9,0,0,0,0,0
lions_1980_LH1,away,1,佐々木　宏一郎,,2.0,12,5,0,1,3,0
lions_1980_LH1,away,2,三浦　政基,L,4.1,17,4,1,2,3,0
lions_1980_LH1,away,3,上田　次朗,,1.2,5,0,3,0,0,0
lions_1980_LH1,home,1,松沼　雅之,,4.0,17,6,2,0,3,0
lions_1980_LH1,home,2,山下　律夫,,0.1,2,1,0,0,0,0
lions_1980_LH1,home,3,永射　保,W,4.2,15,1,3,0,0,0
lions_1980_LH2,away,1,山内　新一,W,9.0,34,6,3,2,3,0
lions_1980_LH2,home,1,東尾　修,L,7.0,33,7,4,4,5,0
lions_1980_LH2,home,2,大川　浩,,2.0,6,0,3,1,0,0
