game_id,team_side,inning,runs
eagles_2023_EL1,home,4,0
eagles_2023_EL1,away,5,2
eagles_2023_EL1,home,5,0
eagles_2023_EL1,away,6,0
eagles_2023_EL1,home,6,0
eagles_2023_EL1,away,7,0
eagles_2023_EL1,home,7,0
eagles_2023_EL1,away,8,0
eagles_2023_EL1,home,8,0
eagles_2023_EL1,away,9,2
eagles_2023_EL1,home,9,0
eagles_2023_EL2,away,1,0
eagles_2023_EL2,home,1,1
eagles_2023_EL2,away,2,0
eagles_2023_EL2,home,2,0
eagles_2023_EL2,away,3,0
eagles_2023_EL2,home,3,0
eagles_2023_EL2,away,4,0
eagles_2023_EL2,home,4,0
eagles_2023_EL2,away,5,0
eagles_2023_EL2,home,5,0
eagles_2023_EL2,away,6,0
eagles_2023_EL2,home,6,0
eagles_2023_EL2,away,7,0
eagles_2023_EL2,home,7,0
eagles_2023_EL2,away,8,0
eagles_2023_EL2,home,8,0
eagles_2023_EL2,away,9,0
giants_1960_GC1,away,1,0
giants_1960_GC1,home,1,0
giants_1960_GC1,away,2,0
giants_1960_GC1,home,2,0
giants_1960_GC1,away,3,0
giants_1960_GC1,home,3,0
giants_1960_GC1,away,4,0
giants_1960_GC1,home,4,0
giants_1960_GC1,away,5,0
giants_1960_GC1,home,5,0
giants_1960_GC1,away,6,0
giants_1960_GC1,home,6,0
giants_1960_GC1,away,7,2
giants_1960_GC1,home,7,0
giants_1960_GC1,away,8,0
giants_1960_GC1,home,8,0
giants_1960_GC1,away,9,0
giants_1960_GC1,home,9,0
giants_1960_GS1,away,1,0
giants_1960_GS1,home,1,4
giants_1960_GS1,away,2,0
giants_1960_GS1,home,2,0
giants_1960_GS1,away,3,1
giants_1960_GS1,home,3,0
giants_1960_GS1,away,4,0
giants_1960_GS1,home,4,0
giants_1960_GS1,away,5,0
giants_1960_GS1,home,5,2
giants_1960_GS1,away,6,0
giants_1960_GS1,home,6,0
giants_1960_GS1,away,7,0
giants_1960_GS1,home,7,2
giants_1960_GS1,away,8,0
giants_1960_GS1,home,8,0
giants_1960_GS1,away,9,0
giants_1960_GS2,away,1,0
giants_1960_GS2,home,1,0
giants_1960_GS2,away,2,0
giants_1960_GS2,home,2,2
giants_1960_GS2,away,3,0
giants_1960_GS2,home,3,0
giants_1960_GS2,away,4,2
giants_1960_GS2,home,4,0
giants_1960_GS2,away,5,0
giants_1960_GS2,home,5,0
giants_1960_GS2,away,6,0
giants_1960_GS2,home,6,3
giants_1960_GS2,away,7,0
giants_1960_GS2,home,7,0
giants_1960_GS2,away,8,1
giants_1960_GS2,home,8,1
giants_1960_GS2,away,9,0
giants_1960_GS3,away,1,0
giants_1960_GS3,home,1,3
giants_1960_GS3,away,2,0
giants_1960_GS3,home,2,0
giants_1960_GS3,away,3,0
giants_1960_GS3,home,3,1
giants_1960_GS3,away,4,0
giants_1960_GS3,home,4,0
giants_1960_GS3,away,5,0
giants_1960_GS3,home,5,0
giants_1960_GS3,away,6,0
giants_1960_GS3,home,6,1
giants_1960_GS3,away,7,0
giants_1960_GS3,home,7,0
giants_1960_GS3,away,8,0
giants_1960_GS3,home,8,3
giants_1960_GS3,away,9,1
lions_1980_FL2,away,1,0
lions_1980_FL2,home,1,0
lions_1980_FL2,away,2,0
lions_1980_FL2,home,2,0
lions_1980_FL2,away,3,0
lions_1980_FL2,home,3,0
lions_1980_FL2,away,4,0
lions_1980_FL2,home,4,0
lions_1980_FL2,away,5,0
lions_1980_FL2,home,5,0
lions_1980_FL2,away,6,0
lions_1980_FL2,home,6,0
lions_1980_FL2,away,7,1
lions_1980_FL2,home,7,3
lions_1980_FL2,away,8,0
lions_1980_FL2,home,8,0
lions_1980_FL2,away,9,0
lions_1980_FL3,away,1,0
lions_1980_FL3,home,1,0
lions_1980_FL3,away,2,2
lions_1980_FL3,home,2,0
lions_1980_FL3,away,3,0
lions_1980_FL3,home,3,0
lions_1980_FL3,away,4,0
lions_1980_FL3,home,4,0
lions_1980_FL3,away,5,1
lions_1980_FL3,home,5,0
lions_1980_FL3,away,6,0
lions_1980_FL3,home,6,2
lions_1980_FL3,away,7,0
lions_1980_FL3,home,7,0
lions_1980_FL3,away,8,0
lions_1980_FL3,home,8,1
lions_1980_FL3,away,9,0
lions_1980_FL3,home,9,0
lions_1980_LH1,away,1,1
lions_1980_LH1,home,1,0
lions_1980_LH1,away,2,0
lions_1980_LH1,home,2,2
lions_1980_LH1,away,3,0
lions_1980_LH1,home,3,1
lions_1980_LH1,away,4,2
lions_1980_LH1,home,4,0
lions_1980_LH1,away,5,0
lions_1980_LH1,home,5,0
lions_1980_LH1,away,6,0
lions_1980_LH1,home,6,1
lions_1980_LH1,away,7,0
lions_1980_LH1,home,7,2
lions_1980_LH1,away,8,0
lions_1980_LH1,home,8,0
lions_1980_LH1,away,9,0
lions_1980_LH2,away,1,0
lions_1980_LH2,home,1,0
lions_1980_LH2,away,2,1
lions_1980_LH2,home,2,0
lions_1980_LH2,away,3,0
lions_1980_LH2,home,3,0
lions_1980_LH2,away,4,2
lions_1980_LH2,home,4,0
lions_1980_LH2,away,5,0
lions_1980_LH2,home,5,0
lions_1980_LH2,away,6,0
lions_1980_LH2,home,6,2
lions_1980_LH2,away,7,4
lions_1980_LH2,home,7,0
lions_1980_LH2,away,8,0
lions_1980_LH2,home,8,1
lions_1980_LH2,away,9,0
lions_1980_LH2,home,9,0
